Epoch	Time	Loss_train	AUC_dev	PRC_dev	Precision_dev	Recall_dev
1	67.48791337	0.64211214	0.85534449	0.797466807	0.461212121	0.313132495
2	135.0341239	0.61738896	0.862817227	0.822832015	0.492121212	0.273930151
3	202.6195628	0.609223	0.868827579	0.830383312	0.475151515	0.265064824
4	270.1873853	0.6046709	0.84643952	0.791623537	0.494545455	0.297764741
5	337.869517	0.57979584	0.832473994	0.800625447	0.492121212	0.256177804
6	405.1944524	0.5531505	0.841047289	0.835973863	0.521212121	0.270086356
7	472.6763733	0.53065044	0.811186492	0.807345861	0.509090909	0.256865427
8	540.2238407	0.50983715	0.838383838	0.830359332	0.484848485	0.259044228
9	607.8953641	0.49837762	0.849756269	0.84301918	0.478181818	0.25880144
10	675.5076412	0.4844798	0.852268958	0.842227132	0.541212121	0.28673463
11	743.0157771	0.47373775	0.860319614	0.847865852	0.544848485	0.297169085
12	810.45148	0.47269666	0.866581235	0.840917207	0.53030303	0.287531412
13	877.7893963	0.47689426	0.868068747	0.840496081	0.553333333	0.294742454
14	945.3527909	0.47467318	0.863239359	0.843781835	0.526666667	0.27570392
15	1012.77182	0.45879138	0.840082416	0.828792282	0.523030303	0.267735428
16	1080.092592	0.4476125	0.844022313	0.831859866	0.506666667	0.259457044
17	1147.70712	0.44433522	0.840705563	0.828014819	0.502424242	0.261641951
18	1214.843562	0.44242853	0.844585155	0.83026354	0.5	0.259623769
19	1282.430396	0.4414844	0.841610131	0.82852713	0.507272727	0.260954012
20	1349.933614	0.44053832	0.844343937	0.832204562	0.492727273	0.254046692
21	1417.44893	0.44033855	0.842032263	0.828652074	0.506666667	0.260237645
22	1484.988318	0.4397928	0.842479522	0.829321027	0.517575758	0.264989198
23	1552.540279	0.43949366	0.838167747	0.825941083	0.513333333	0.262408479
24	1620.218637	0.4393388	0.839800995	0.829138309	0.5	0.257271576
25	1687.685949	0.43947956	0.842801146	0.830905234	0.481818182	0.248949672
26	1754.933341	0.43941662	0.840489472	0.830161254	0.513333333	0.266604227
27	1822.51943	0.43905368	0.839012011	0.824754668	0.499393939	0.256709404
28	1889.807449	0.43912652	0.841770943	0.827455898	0.504848485	0.256801459
29	1957.133206	0.43898848	0.839328609	0.824665819	0.510909091	0.262187822
30	2024.875586	0.43901822	0.845705814	0.833201933	0.500606061	0.255198484
31	2092.098942	0.43898216	0.838564752	0.826569815	0.503030303	0.257215554
32	2159.771919	0.43895736	0.837439067	0.829583195	0.502424242	0.256007761
33	2226.957717	0.43882853	0.842082517	0.831949078	0.492727273	0.25249472
34	2294.376724	0.43879727	0.839750741	0.830238967	0.515151515	0.261598291
35	2362.255521	0.43885583	0.840057289	0.82712867	0.496363636	0.256166661
36	2429.817845	0.43896648	0.845067591	0.831139482	0.512727273	0.259178902
37	2498.758259	0.43905038	0.838398915	0.828088247	0.498787879	0.25591218
38	2568.738261	0.4390217	0.844906779	0.83070682	0.503636364	0.258148073
39	2638.223208	0.43898147	0.841213126	0.830677088	0.506666667	0.26193951
40	2706.845478	0.4388844	0.843484597	0.834031482	0.502424242	0.255132825
41	2775.931602	0.43889695	0.845288708	0.834392165	0.495151515	0.255163482
42	2844.683613	0.4389629	0.840409066	0.827534618	0.501818182	0.255770871
43	2914.596927	0.43902823	0.838202925	0.828992945	0.526060606	0.269330123
44	2983.809476	0.43878737	0.837594854	0.826043766	0.501212121	0.253612923
45	3052.523688	0.4387934	0.841559877	0.83176955	0.501818182	0.255844963
46	3121.271109	0.43912536	0.840092467	0.827242492	0.512727273	0.264493203
47	3189.436848	0.43899566	0.843705714	0.828253075	0.513333333	0.260800978
48	3257.879937	0.43868935	0.837328509	0.829396935	0.5	0.258431702
49	3326.972915	0.43879503	0.843007186	0.830357199	0.493939394	0.25502816
50	3395.612488	0.43906313	0.840559827	0.830097305	0.503030303	0.258810955
						
0.313432836	0.84					
