Val	Epoch	Time	Loss_train	AUC_dev	PRC_dev	AUC_test	PRC_test
0	1	69.72112421	0.61462426	0.752935445	0.766181332	0.776016064	0.793446418
0	2	140.0210132	0.5669095	0.774002355	0.791481573	0.783919679	0.797838734
0	3	208.6335923	0.5358896	0.788379052	0.811159461	0.793959839	0.816827783
0	4	279.0413275	0.51476645	0.78973018	0.815567116	0.792722892	0.818062661
0	5	348.5973823	0.49642786	0.798583201	0.821065832	0.786313253	0.814345953
0	6	419.1240151	0.48022446	0.804066759	0.828113714	0.789204819	0.814473986
0	7	489.0101566	0.46445292	0.802070393	0.832076636	0.791036145	0.822049244
0	8	559.4117546	0.43486682	0.819433519	0.84203451	0.789108434	0.817249666
0	9	630.2455201	0.40487444	0.815838629	0.843047626	0.770409639	0.807111811
0	10	701.250547	0.36416197	0.821749638	0.846433856	0.771373494	0.801745021
0	11	773.6319153	0.32623285	0.821661759	0.846599369	0.768995984	0.802380825
1	1	71.39348858	0.62853646	0.752683491	0.783440711	0.754570281	0.775860337
1	2	141.9360667	0.58488756	0.787922787	0.814412059	0.759405622	0.784564751
1	3	212.8463924	0.54136413	0.798418419	0.823545276	0.758072289	0.789103649
1	4	283.396748	0.5182606	0.806971584	0.833236097	0.767550201	0.809392889
1	5	355.0159313	0.50029904	0.808478943	0.833897618	0.765269076	0.801123082
1	6	425.2229517	0.48839614	0.809095069	0.83593926	0.74486747	0.795027656
1	7	496.695124	0.47759578	0.802204489	0.833848566	0.772899598	0.809129809
1	8	569.0173133	0.4413142	0.809903913	0.83451979	0.773285141	0.804641932
1	9	639.9187674	0.4172488	0.810257111	0.83598864	0.769702811	0.799061395
1	10	710.812217	0.3954383	0.79297884	0.823535404	0.78788755	0.815285608
1	11	781.2200757	0.3546388	0.815523315	0.833383008	0.773317269	0.797953403
1	12	852.1016227	0.32153028	0.816889777	0.834699047	0.761140562	0.78635878
1	13	922.357051	0.29173696	0.81786125	0.835837793	0.781590361	0.800992395
1	14	993.1810587	0.27108133	0.820777818	0.842524801	0.785542169	0.81483484
1	15	1064.750418	0.24906032	0.81559854	0.839960772	0.783325301	0.801530429
1	16	1135.410411	0.2200365	0.816918434	0.838223413	0.789959839	0.815931791
1	17	1205.982294	0.19138321	0.814250705	0.833187815	0.793831325	0.814108373
