Epoch	Time	Loss_train	AUC_dev	PRC_dev	Precision_dev	Recall_dev
1	65.85500484	0.6498685	0.85660101	0.79719246	0.453939394	0.267680056
2	132.846121	0.6200062	0.840929293	0.798387196	0.465454545	0.257380258
3	199.7893444	0.60691065	0.864277778	0.80617489	0.481818182	0.263063365
4	265.9923425	0.5975764	0.873489899	0.831960332	0.482424242	0.256951167
5	332.9342747	0.5852897	0.867939394	0.83034413	0.53030303	0.288706506
6	399.7788816	0.5598275	0.869161616	0.843323956	0.526060606	0.288047892
7	466.6731716	0.5366128	0.854818182	0.833030651	0.547878788	0.310524196
8	532.8882159	0.51583064	0.844974747	0.822277696	0.526060606	0.288359811
9	599.8893088	0.4989155	0.835252525	0.821787642	0.528484848	0.283455621
10	666.9577225	0.4848206	0.831944444	0.819286738	0.554545455	0.299056775
11	733.314484	0.47760954	0.834292929	0.82013316	0.546060606	0.285178317
12	799.8444248	0.4743385	0.833267677	0.816125674	0.552727273	0.291821918
13	866.5710947	0.471681	0.836686869	0.817040428	0.536363636	0.27610453
14	933.5430084	0.4703983	0.832666667	0.816322669	0.538181818	0.282755078
15	999.8687995	0.46900216	0.829530303	0.814268754	0.527878788	0.275766387
16	1066.777196	0.46851698	0.833247475	0.818127949	0.532121212	0.276917476
17	1134.271864	0.46810392	0.830479798	0.811402795	0.541212121	0.280696147
18	1200.495527	0.46792135	0.828363636	0.811272679	0.530909091	0.274927067
19	1267.183378	0.46774462	0.83039899	0.816644729	0.528484848	0.278561513
20	1334.199119	0.467624	0.828787879	0.811238657	0.550909091	0.28784378
21	1400.340224	0.46760756	0.832459596	0.815496932	0.526666667	0.274526289
22	1467.254993	0.46749645	0.82760101	0.811111764	0.525454545	0.271433331
23	1534.349595	0.46744013	0.828888889	0.813101431	0.525454545	0.274914044
24	1600.312391	0.4672635	0.827489899	0.812793361	0.545454545	0.284069104
25	1667.378038	0.4674376	0.829247475	0.814562354	0.527878788	0.273305744
26	1734.358757	0.4675673	0.826505051	0.807398752	0.541212121	0.277692748
27	1800.171837	0.46752813	0.826712121	0.808826104	0.535757576	0.27993591
28	1867.406552	0.4672748	0.828828283	0.810944176	0.537575758	0.28121023
29	1934.198437	0.46715808	0.828585859	0.811905123	0.538181818	0.278609001
30	2000.619323	0.46759674	0.830686869	0.813692579	0.552121212	0.288102025
31	2066.83672	0.4672675	0.833469697	0.817465477	0.518181818	0.269159632
32	2134.280284	0.46733627	0.834393939	0.816541567	0.547878788	0.292366907
33	2201.075448	0.46739277	0.830954545	0.81427217	0.543636364	0.283279729
34	2267.17698	0.46716037	0.827141414	0.810171164	0.535757576	0.279236479
35	2334.425508	0.46735063	0.829515152	0.812397181	0.532121212	0.274819513
36	2401.428063	0.4674818	0.830419192	0.812532717	0.551515152	0.287454067
37	2467.531224	0.4674381	0.830505051	0.811380304	0.54969697	0.282332033
						
0.106060606	0.875					
